title,address,date,description,price,phone,link
3 bedroom maisonette for sale,"Main Street, Uddingston, Glasgow, G71",26/06/2020,"Have your cake (& also eat it)! This exquisite property has been fully restored to it's former glory & beyond, combining traditional size rooms and features with every modern touch you will want! Additionally you'll enjoy a rooftop terrace, driveway & enclosed rear garden. View on the virtual tour!","£270,000",01698 852237,https://www.rightmove.co.uk//property-for-sale/property-94016003.html
4 bedroom detached villa for sale,"20 James Boyle Square, Milton of Campsie, G66 8JN",today,"Situated within a small and delightfully landscaped private cul-de-sac, this detached family home is beautifully presented to a high standard throughout and provides a great venue for anyone looking to live close to the countryside and within easy reach of main hubs, providing great rail links to...","£249,000",01292 872322,https://www.rightmove.co.uk//property-for-sale/property-94128863.html
4 bedroom detached house for sale,"Redwood Drive, 
East Kilbride, 
GLASGOW, 
SOUTH LANARKSHIRE, 
G74",today,"Thornton View is a development of 3 and 4 bed homes in East Kilbride. With terraces, semi-detached and detached homes to choose from, the development is great for first time buyers and those looking to take the next step. With the East Kilbride Expressway just minutes away, Thornton View is ide...","£288,995",01355 516054,https://www.rightmove.co.uk//property-for-sale/property-81431986.html
3 bedroom terraced house for sale,"Wyvis Avenue, Glasgow, G13",today,"Truly a unique and rarely available three bedroom end terraced family home with converted loft and fantastic landscaped garden with decking and summer house with bar. This property is in fantastic order throughout comprising, reception hall with downstairs wc, open plan front facing lounge with ...","£145,000",0121 396 0877,https://www.rightmove.co.uk//property-for-sale/property-94123538.html
2 bedroom flat for sale,"3 Gorstan Street, Glasgow, G23",today,"This most impressive first floor flat has be maintained superb standard offering contemporary decoration throughout with stylish finishes. The property is situated on the first floor and offers spacious bright accommodation comprising large reception hallway with three storage cupboards, two do...","£78,000",0121 396 0877,https://www.rightmove.co.uk//property-for-sale/property-94123391.html
3 bedroom detached house for sale,"Walnut Lane, Laburnum Gardens,  East Kilbride",today,"Set in a cul-de-sac, within the private Laburnum Gardens development is this three-bedroom detached villa with driveway and integral garage. It is convenient for all local amenities, bus services and sports and recreational facilities. ","£165,000",01355 516020,https://www.rightmove.co.uk//property-for-sale/property-94122980.html
2 bedroom flat for sale,"Lindores Drive, West Mains, East Kilbride, G74",today,"Set within a popular pocket close to East Kilbride Town Centre, Train Station and Village is this stylish two-bedroom ground floor flat with sun balcony. It benefits from having gas central heating, stylish kitchen and shower room and has UPVC double-glazing throughout. ","£77,500",01355 516020,https://www.rightmove.co.uk//property-for-sale/property-94049588.html
3 bedroom semi-detached house for sale,"Loch Maree, St Leonards, East Kilbride, G74",today,"This three-bedroom semi-detached villa with garage, private parking and conservatory has been maintained to a very high standard. It is within a desirable pocket close to highly regarded Primary and Secondary Schools and within walking distance to East Kilbride Town Centre, Train Station and Village","£180,000",01355 516020,https://www.rightmove.co.uk//property-for-sale/property-94048748.html
2 bedroom flat for sale,"Glen Tennet, St Leonards, East Kilbride, G74",today,Set within a popular pocket close to all local amenities and transport links is this very stylish 1st floor flat with gas central heating and sun balcony. ,"£77,000",01355 516020,https://www.rightmove.co.uk//property-for-sale/property-93958085.html
4 bedroom detached house for sale,"East Kilbride,
Glasgow,
G75",today,The Geddes offers an open-plan kitchen breakfast area with French doors that lead to the rear garden is ideal for informal family dining. The dining room and lounge are separated by french doors which offers fantastic flexible living. Upstairs are four well-proportioned bedrooms with master en-s...,"£262,000",01355 516051,https://www.rightmove.co.uk//property-for-sale/property-81421732.html
