title,address,date,description,price,phone,link
1 bed flat for sale,"Ark Lane, Dennistoun G31",20th Jun 2020,"***360 virtual viewing available*** Keys Estate Agents are delighted to present to the market, this beautifully decorated, traditional sandstone third floor tenement flat, set within the popular address of Ark Lane, Dennistoun. The property on offer ...","£79,950",0141 376 8998 **,https://www.zoopla.co.uk//for-sale/details/55260872?search_identifier=fe6a8bd84b5c92957b93bf538455137d
3 bed end terrace house for sale,"""Coull"" at Mavor Avenue, East Kilbride, Glasgow G74",20th Jun 2020,"This 3 bedroom home has an open-plan kitchen and dining area with access to the back garden and separate lobby with practical utility space and WC. There's also a front-aspect lounge, providing plenty of space to relax. Upstairs there's 2 double ...","£199,995",0141 376 7414 **,https://www.zoopla.co.uk//new-homes/details/52644973?search_identifier=fe6a8bd84b5c92957b93bf538455137d
3 bed end terrace house for sale,"""Coull"" at Mavor Avenue, East Kilbride, Glasgow G74",20th Jun 2020,"This 3 bedroom home has an open-plan kitchen and dining area with access to the back garden and separate lobby with practical utility space and WC. There's also a front-aspect lounge, providing plenty of space to relax. Upstairs there's 2 double ...","£199,995",0141 376 7414 **,https://www.zoopla.co.uk//new-homes/details/55258421?search_identifier=fe6a8bd84b5c92957b93bf538455137d
1 bed flat for sale,"Innes Court, Stewartfield, East Kilbride G74",20th Jun 2020,"Two-bedroom apartment with sun balcony and parking. The property is close to Train Station, Village, Town Centre and the motorway network.* Due to Covid19 the photographs have been supplied by the owner and the Home Report was carried out prior toLockDown","£135,000",01355 385948 **,https://www.zoopla.co.uk//for-sale/details/55256933?search_identifier=fe6a8bd84b5c92957b93bf538455137d
5 bed detached house for sale,"""Rossie"" at Blantyre Mill Road, Bothwell, Glasgow G71",19th Jun 2020,"Twin french doors to the family/dining area and kitchen open up the home to the garden, bringing a light and airy feel to the home. Two en-suite shower rooms to the bedrooms. Double garage.","£464,000",0141 376 8305 **,https://www.zoopla.co.uk//new-homes/details/54557178?search_identifier=fe6a8bd84b5c92957b93bf538455137d
2 bed flat for sale,"Roslea Drive, Dennistoun, Glasgow G31",19th Jun 2020,"Keys Estate Agents are delighted to present to the market, this larger than average, preferred first floor flat, nestled within the heart of the much sought after Drives, in Dennistoun. The property has undergone extensive internal refurbishment and ...","£164,950",0141 376 8998 **,https://www.zoopla.co.uk//for-sale/details/55254606?search_identifier=fe6a8bd84b5c92957b93bf538455137d
2 bed semi-detached house for sale,"Wheatfield Road, Bearsden, Glasgow G61",19th Jun 2020,"Seldom available semi-detached bungalow providing all on one level accommodation, with most attractive garden. Situated off Maxwell Avenue, close to Westerton train station.","£205,000",0141 433 1062 **,https://www.zoopla.co.uk//for-sale/details/55254485?search_identifier=fe6a8bd84b5c92957b93bf538455137d
3 bed semi-detached house for sale,"Auchinraith Road, Glasgow G72",19th Jun 2020,"An extended traditional semi detached villa, located in a desired residential address within the popular town of Blantyre. The subjects offer great size & versatile living accommodation formed over 1 ½ levels with a fresh neutral decor that flows ...","£140,000",024 7511 8874 **,https://www.zoopla.co.uk//for-sale/details/55254258?search_identifier=fe6a8bd84b5c92957b93bf538455137d
2 bed flat for sale,"The Fairways, Bothwell, Glasgow, South Lanarkshire G71",19th Jun 2020,A most substantial ground floor flat set within The Fairways which has long proven popular with the discerning buyer. (contd...),"£225,000",01698 599753 **,https://www.zoopla.co.uk//for-sale/details/52730833?search_identifier=fe6a8bd84b5c92957b93bf538455137d
2 bed bungalow for sale,"Killermont Road, Bearsden, Glasgow G61",19th Jun 2020,"Detached bungalow with driveway, car port and single detached garage. Private gardens to both front and rear. Cellar. GCH & dg throughout. Hallway, 2 public rooms, 2 bedrooms, dining kitchen and shower room. Loft area. Early viewing highly recommended.","£350,000",01475 327881 **,https://www.zoopla.co.uk//for-sale/details/55253057?search_identifier=fe6a8bd84b5c92957b93bf538455137d
2 bed terraced house for sale,"Ardargie Place, Glasgow G32",19th Jun 2020,An immaculate mid terrace villa situated in a modern residential cul de sac within the village of Carmyle. The subjects enjoy bright neutral living space throughout & would suit both your or elderly purchasers alike. Internal viewing advised. A brown ...,"£80,000",024 7511 8874 **,https://www.zoopla.co.uk//for-sale/details/55251238?search_identifier=fe6a8bd84b5c92957b93bf538455137d
1 bed flat for sale,"Mannering Court, Shawlands, Glasgow G41",19th Jun 2020,"Presented to the market in immaculate condition this top floor flat offering fabulous accommodation. GCH. Dg. Communal drying area and residents parking to rear. Hallway, lounge, kitchen, double bedroom and bathroom.","£100,000",01475 327881 **,https://www.zoopla.co.uk//for-sale/details/55250931?search_identifier=fe6a8bd84b5c92957b93bf538455137d
3 bed terraced house for sale,"Glenshee Street, Glasgow G31",19th Jun 2020,"A rarely available, mid-terraced villa conveniently located for a host of amenities and transport links. This fabulous family home comprises a welcoming reception hall, spacious lounge, open plan integrated kitchen/ dining room, three bedrooms, family ...","£110,000",024 7511 8874 **,https://www.zoopla.co.uk//for-sale/details/54423558?search_identifier=fe6a8bd84b5c92957b93bf538455137d
2 bed flat for sale,"Maxwell Drive, East Kilbride, Glasgow G74",19th Jun 2020,"Offered to the market place and set within the heart of the Village, East Kilbride, Dickie & Moore Homes are delighted to present eleven, two bedroom apartments situated on the corner of Maxwell Drive & Threshold. This fantastic development has been ...","£215,000",01355 587157 **,https://www.zoopla.co.uk//new-homes/details/55249208?search_identifier=fe6a8bd84b5c92957b93bf538455137d
2 bed flat for sale,"Main Street, Rutherglen, South Lanarkshire G73",19th Jun 2020,"A modern two bedroom, first floor flat located in Rutherglen.","£79,500",0141 376 8824 **,https://www.zoopla.co.uk//for-sale/details/55249086?search_identifier=fe6a8bd84b5c92957b93bf538455137d
2 bed flat for sale,"Strathclyde Gardens, Drumsagard, South Lanarkshire G72",19th Jun 2020,"A modern ground floor, two bedroom flat located in Cambuslang.","£79,950",0141 376 8824 **,https://www.zoopla.co.uk//for-sale/details/55249087?search_identifier=fe6a8bd84b5c92957b93bf538455137d
Room for sale,"Main Street, Rutherglen G73",19th Jun 2020,"Ideally situated on the high street, with a ramge of amenities and public transport right on your doorstep.","£45,000",0141 433 6654 **,https://www.zoopla.co.uk//for-sale/details/55248803?search_identifier=fe6a8bd84b5c92957b93bf538455137d
